,City,Total Price,Rupee_per_area(sq-feet),Area,Apartement
36982,Greater Noida,53.12,4660.0,1140,2.0
36983,Greater Noida,47.31,3850.0,1229,2.0
36984,Greater Noida,78.75,4716.0,1670,3.0
36986,Greater Noida,71.89,4424.0,1625,3.0
36987,Ghaziabad,17.03,4518.0,377,1.0
36988,Ghaziabad,28.8,2400.0,1200,2.0
36989,Ghaziabad,98.0,4900.0,2000,3.0
36991,Greater Noida,51.89,4850.0,1070,2.0
36992,Greater Noida,78.72,4700.0,1675,3.0
36993,Greater Noida,67.7,4299.0,1575,3.0
36994,Greater Noida,76.21,5293.0,1440,3.0
36996,Greater Noida,37.39,3800.0,984,2.0
36997,Noida,3.87,11000.0,3525,4.0
36999,Lucknow,49.0,4000.0,1225,2.0
37000,Ghaziabad,57.25,5000.0,1145,2.0
37001,Ghaziabad,2.06,8300.0,2485,3.0
37002,Greater Noida,53.12,4660.0,1140,2.0
37003,Greater Noida,47.31,3850.0,1229,2.0
37004,Greater Noida,78.75,4716.0,1670,3.0
37006,Greater Noida,71.89,4424.0,1625,3.0
37007,Ghaziabad,17.03,4518.0,377,1.0
37008,Ghaziabad,28.8,2400.0,1200,2.0
37009,Ghaziabad,98.0,4900.0,2000,3.0
37011,Greater Noida,51.89,4850.0,1070,2.0
37012,Greater Noida,78.72,4700.0,1675,3.0
37013,Greater Noida,67.7,4299.0,1575,3.0
37014,Greater Noida,76.21,5293.0,1440,3.0
37016,Greater Noida,37.39,3800.0,984,2.0
37017,Noida,3.87,11000.0,3525,4.0
37019,Lucknow,49.0,4000.0,1225,2.0
37020,Ghaziabad,57.25,5000.0,1145,2.0
37021,Ghaziabad,2.06,8300.0,2485,3.0
37022,Greater Noida,53.12,4660.0,1140,2.0
37023,Greater Noida,47.31,3850.0,1229,2.0
37024,Greater Noida,78.75,4716.0,1670,3.0
37026,Greater Noida,71.89,4424.0,1625,3.0
37027,Ghaziabad,17.03,4518.0,377,1.0
37028,Ghaziabad,28.8,2400.0,1200,2.0
37029,Ghaziabad,98.0,4900.0,2000,3.0
37031,Greater Noida,51.89,4850.0,1070,2.0
37032,Greater Noida,78.72,4700.0,1675,3.0
